capsuleName,messageType,messageID,second,nano
client,SendingMessage,1,1488235427,937835000
client,MessageSent,1,1488235427,937877000
client,ProcessingMessage,2,1488235428,192402000
client,MessageProcessed,2,1488235428,192771000
client,SendingMessage,3,1488235428,202545000
client,MessageSent,3,1488235428,202578000
client,ProcessingMessage,4,1488235428,462140000
client,MessageProcessed,4,1488235428,462703000
client,SendingMessage,5,1488235428,470413000
client,MessageSent,5,1488235428,470450000
client,ProcessingMessage,6,1488235428,724433000
client,MessageProcessed,6,1488235428,724751000
client,SendingMessage,7,1488235428,735291000
client,MessageSent,7,1488235428,735326000
client,ProcessingMessage,8,1488235428,989188000
client,MessageProcessed,8,1488235428,989508000
client,SendingMessage,9,1488235428,998763000
client,MessageSent,9,1488235428,998796000
client,ProcessingMessage,10,1488235429,254734000
client,MessageProcessed,10,1488235429,255048000
client,SendingMessage,11,1488235429,264922000
client,MessageSent,11,1488235429,264960000
client,ProcessingMessage,12,1488235429,528745000
client,MessageProcessed,12,1488235429,529353000
client,SendingMessage,13,1488235429,537252000
client,MessageSent,13,1488235429,537285000
client,ProcessingMessage,14,1488235429,798049000
client,MessageProcessed,14,1488235429,798363000
client,SendingMessage,15,1488235429,805156000
client,MessageSent,15,1488235429,805193000
client,ProcessingMessage,16,1488235430,65837000
client,MessageProcessed,16,1488235430,66498000
client,SendingMessage,17,1488235430,74994000
client,MessageSent,17,1488235430,75030000
client,ProcessingMessage,18,1488235430,322356000
client,MessageProcessed,18,1488235430,322694000
client,SendingMessage,19,1488235430,331506000
client,MessageSent,19,1488235430,331559000
client,ProcessingMessage,20,1488235430,581427000
client,MessageProcessed,20,1488235430,581737000
client,SendingMessage,21,1488235430,588879000
client,MessageSent,21,1488235430,588913000
client,ProcessingMessage,22,1488235430,843105000
client,MessageProcessed,22,1488235430,843473000
client,SendingMessage,23,1488235430,854009000
client,MessageSent,23,1488235430,854059000
client,ProcessingMessage,24,1488235431,105697000
client,MessageProcessed,24,1488235431,106158000
client,SendingMessage,25,1488235431,113559000
client,MessageSent,25,1488235431,113585000
client,ProcessingMessage,26,1488235431,372605000
client,MessageProcessed,26,1488235431,372958000
client,SendingMessage,27,1488235431,381596000
client,MessageSent,27,1488235431,381622000
client,ProcessingMessage,28,1488235431,630469000
client,MessageProcessed,28,1488235431,630764000
client,SendingMessage,29,1488235431,638904000
client,MessageSent,29,1488235431,638943000
client,ProcessingMessage,30,1488235431,946377000
client,MessageProcessed,30,1488235431,946656000
client,SendingMessage,31,1488235431,960183000
client,MessageSent,31,1488235431,960211000
client,ProcessingMessage,32,1488235432,229343000
client,MessageProcessed,32,1488235432,230006000
client,SendingMessage,33,1488235432,237733000
client,MessageSent,33,1488235432,237770000
client,ProcessingMessage,34,1488235432,501701000
client,MessageProcessed,34,1488235432,502036000
client,SendingMessage,35,1488235432,508968000
client,MessageSent,35,1488235432,508998000
client,ProcessingMessage,36,1488235432,765231000
client,MessageProcessed,36,1488235432,765573000
client,SendingMessage,37,1488235432,772578000
client,MessageSent,37,1488235432,772611000
client,ProcessingMessage,38,1488235433,27786000
client,MessageProcessed,38,1488235433,28372000
client,SendingMessage,39,1488235433,37403000
client,MessageSent,39,1488235433,37441000
client,ProcessingMessage,40,1488235433,281594000
client,MessageProcessed,40,1488235433,281997000
client,SendingMessage,41,1488235433,289231000
client,MessageSent,41,1488235433,289264000
client,ProcessingMessage,42,1488235433,532748000
client,MessageProcessed,42,1488235433,533121000
client,SendingMessage,43,1488235433,540259000
client,MessageSent,43,1488235433,540296000
client,ProcessingMessage,44,1488235433,789128000
client,MessageProcessed,44,1488235433,789458000
client,SendingMessage,45,1488235433,796476000
client,MessageSent,45,1488235433,796508000
client,ProcessingMessage,46,1488235434,38027000
client,MessageProcessed,46,1488235434,38366000
client,SendingMessage,47,1488235434,45458000
client,MessageSent,47,1488235434,45495000
client,ProcessingMessage,48,1488235434,290392000
client,MessageProcessed,48,1488235434,290712000
client,SendingMessage,49,1488235434,297910000
client,MessageSent,49,1488235434,297947000
client,ProcessingMessage,50,1488235434,546477000
client,MessageProcessed,50,1488235434,546807000
client,SendingMessage,51,1488235434,553959000
client,MessageSent,51,1488235434,553991000
client,ProcessingMessage,52,1488235434,792038000
client,MessageProcessed,52,1488235434,792369000
client,SendingMessage,53,1488235434,799221000
client,MessageSent,53,1488235434,799259000
client,ProcessingMessage,54,1488235435,49565000
client,MessageProcessed,54,1488235435,49952000
client,SendingMessage,55,1488235435,57847000
client,MessageSent,55,1488235435,57884000
client,ProcessingMessage,56,1488235435,303428000
client,MessageProcessed,56,1488235435,303763000
client,SendingMessage,57,1488235435,310738000
client,MessageSent,57,1488235435,310771000
client,ProcessingMessage,58,1488235435,556723000
client,MessageProcessed,58,1488235435,557052000
client,SendingMessage,59,1488235435,564022000
client,MessageSent,59,1488235435,564055000
client,ProcessingMessage,60,1488235435,810537000
client,MessageProcessed,60,1488235435,810871000
client,SendingMessage,61,1488235435,817888000
client,MessageSent,61,1488235435,817926000
client,ProcessingMessage,62,1488235436,69293000
client,MessageProcessed,62,1488235436,69621000
client,SendingMessage,63,1488235436,82623000
client,MessageSent,63,1488235436,82656000
client,ProcessingMessage,64,1488235436,323504000
client,MessageProcessed,64,1488235436,323848000
client,SendingMessage,65,1488235436,330884000
client,MessageSent,65,1488235436,330914000
client,ProcessingMessage,66,1488235436,580214000
client,MessageProcessed,66,1488235436,580572000
client,SendingMessage,67,1488235436,587519000
client,MessageSent,67,1488235436,587552000
client,ProcessingMessage,68,1488235436,840572000
client,MessageProcessed,68,1488235436,840896000
client,SendingMessage,69,1488235436,847984000
client,MessageSent,69,1488235436,848017000
client,ProcessingMessage,70,1488235437,95174000
client,MessageProcessed,70,1488235437,95497000
client,SendingMessage,71,1488235437,102842000
client,MessageSent,71,1488235437,102881000
client,ProcessingMessage,72,1488235437,353914000
client,MessageProcessed,72,1488235437,354225000
client,SendingMessage,73,1488235437,361306000
client,MessageSent,73,1488235437,361338000
client,ProcessingMessage,74,1488235437,609804000
client,MessageProcessed,74,1488235437,610136000
client,SendingMessage,75,1488235437,617441000
client,MessageSent,75,1488235437,617474000
client,ProcessingMessage,76,1488235437,863384000
client,MessageProcessed,76,1488235437,863718000
client,SendingMessage,77,1488235437,870913000
client,MessageSent,77,1488235437,870950000
client,ProcessingMessage,78,1488235438,114246000
client,MessageProcessed,78,1488235438,114639000
client,SendingMessage,79,1488235438,123784000
client,MessageSent,79,1488235438,123826000
client,ProcessingMessage,80,1488235438,372405000
client,MessageProcessed,80,1488235438,372739000
client,SendingMessage,81,1488235438,379675000
client,MessageSent,81,1488235438,379709000
client,ProcessingMessage,82,1488235438,630195000
client,MessageProcessed,82,1488235438,630523000
client,SendingMessage,83,1488235438,638185000
client,MessageSent,83,1488235438,638218000
client,ProcessingMessage,84,1488235438,878459000
client,MessageProcessed,84,1488235438,878782000
client,SendingMessage,85,1488235438,885871000
client,MessageSent,85,1488235438,885904000
client,ProcessingMessage,86,1488235439,139241000
client,MessageProcessed,86,1488235439,139577000
client,SendingMessage,87,1488235439,146491000
client,MessageSent,87,1488235439,146525000
client,ProcessingMessage,88,1488235439,388017000
client,MessageProcessed,88,1488235439,388368000
client,SendingMessage,89,1488235439,395521000
client,MessageSent,89,1488235439,395607000
client,ProcessingMessage,90,1488235439,632844000
client,MessageProcessed,90,1488235439,633221000
client,SendingMessage,91,1488235439,641066000
client,MessageSent,91,1488235439,641096000
client,ProcessingMessage,92,1488235439,884921000
client,MessageProcessed,92,1488235439,885246000
client,SendingMessage,93,1488235439,892257000
client,MessageSent,93,1488235439,892294000
client,ProcessingMessage,94,1488235440,138605000
client,MessageProcessed,94,1488235440,138941000
client,SendingMessage,95,1488235440,151943000
client,MessageSent,95,1488235440,151976000
client,ProcessingMessage,96,1488235440,396142000
client,MessageProcessed,96,1488235440,396493000
client,SendingMessage,97,1488235440,404354000
client,MessageSent,97,1488235440,404390000
client,ProcessingMessage,98,1488235440,648707000
client,MessageProcessed,98,1488235440,649009000
client,SendingMessage,99,1488235440,657218000
client,MessageSent,99,1488235440,657253000
client,ProcessingMessage,100,1488235440,901051000
